idAlignement;idPooler;prenomJoueur;nomJoueur;idNHL;statutJoueur;dateDebut;dateFin;pjActuels;butsActuels;assistActuels;pointsActuels
80;cle;Dylan;Cozens;8481528;Réserve;2021-01-13;2021-01-28;;;;
81;hub;Philip;Tomasino;8481577;Espoir;2021-01-13;ajd;;;;
82;hub;Mavrik;Bourque;8482145;Espoir;2021-01-13;ajd;;;;
83;hub;Peyton;Krebs;8481522;Espoir;2021-01-13;ajd;;;;
84;hub;Cam;York;8481546;Espoir;2021-01-13;ajd;;;;
85;hub;Pavel;Dorofeyev;8481604;Espoir;2021-01-13;ajd;;;;
86;hub;Raphaël;Lavoie;8481534;Espoir;2021-01-13;ajd;;;;
87;hub;Alex;Campbell;8481619;Espoir;2021-01-13;ajd;;;;
88;cle;Trevor;Zegras;8481533;Espoir;2021-01-13;ajd;;;;
89;cle;Arthur;Kaliyev;8481560;Espoir;2021-01-13;ajd;;;;
90;cle;Rodion;Amirov;8482099;Espoir;2021-01-13;ajd;;;;
91;cle;Lucas;Raymond;8482078;Espoir;2021-01-13;ajd;;;;
92;cle;Cole;Perfetti;8482149;Espoir;2021-01-13;ajd;;;;
93;cle;Jamie;Drysdale;8482142;Espoir;2021-01-13;ajd;;;;
94;cle;Alex;Vlasic;8481568;Espoir;2021-01-13;ajd;;;;
95;cle;Yaroslav;Askarov;8482137;Espoir;2021-01-13;ajd;;;;
96;cle;Spencer;Knight;8481519;Espoir;2021-01-13;ajd;;;;
97;cle;Quinton;Byfield;8482124;Espoir;2021-01-13;ajd;;;;
98;tro;Alex;Turcotte;8481532;Espoir;2021-01-13;ajd;;;;
99;tro;Alex;Newhook;8481618;Espoir;2021-01-13;ajd;;;;
100;tro;Cole;Caufield;8481540;Espoir;2021-01-13;ajd;;;;
101;tro;Matthew;Boldy;8481557;Espoir;2021-01-13;ajd;;;;
102;tro;Anton;Lundell;8482113;Espoir;2021-01-13;ajd;;;;
103;tro;Ryan;Suzuki;8481576;Espoir;2021-01-13;ajd;;;;
104;tro;Marco;Rossi;8482079;Espoir;2021-01-13;ajd;;;;
105;tro;Vasili;Podkolzin;8481617;Espoir;2021-01-13;ajd;;;;
106;tro;Jakob;Pelletier;8481592;Espoir;2021-01-13;ajd;;;;
